time,yaw_rate_deg,steering_angle_deg
6.48,0.793831906,-6.2
6.5,1.143537592,-6.2
6.52,1.073596454,-6.2
6.54,1.073596454,-6.2
6.56,1.073596454,-6.2
6.58,1.073596454,-6.2
6.6,1.354235267,-6.2
6.62,1.143537592,-6.2
6.64,1.143537592,-6.2
6.66,1.003655317,-6.2
6.68,1.073596454,-6.2
6.7,1.143537592,-6.2
6.72,1.214352993,-6.2
6.74,0.93371418,-6.2
6.76,1.143537592,-6.2
6.78,1.003655317,-6.2
6.8,1.214352993,-6.2
6.82,1.354235267,-6.2
6.84,1.424176404,-6.1
6.86,0.723890769,-6.1
6.88,0.863773043,-6.1
6.9,1.073596454,-6.1
6.92,1.283419866,-6.1
6.94,1.214352993,-6.1
6.96,1.283419866,-6.1
6.98,1.073596454,-6.1
7,1.073596454,-6.1
7.02,1.073596454,-6.1
7.04,1.143537592,-6.1
7.06,1.143537592,-6.1
7.08,1.214352993,-6.1
7.1,1.214352993,-6.1
7.12,1.143537592,-6.1
7.14,1.283419866,-6.1
7.16,1.143537592,-6.1
7.18,1.354235267,-6.1
7.2,1.354235267,-6.1
7.22,1.214352993,-6.1
7.24,1.283419866,-6.1
7.26,1.354235267,-6.2
7.28,1.214352993,-6.2
7.3,1.073596454,-6.2
7.32,0.863773043,-6.2
7.34,1.073596454,-6.2
7.36,1.003655317,-6.2
7.38,0.93371418,-6.2
7.4,1.003655317,-6.2
7.42,1.073596454,-6.2
7.44,1.073596454,-6.2
7.46,0.93371418,-6.2
7.48,1.073596454,-6.2
7.5,0.863773043,-6.2
7.52,1.003655317,-6.2
7.54,1.354235267,-6.3
7.56,1.003655317,-6.3
7.58,1.003655317,-6.3
7.6,1.073596454,-6.3
7.62,1.003655317,-6.3
7.64,0.93371418,-6.3
7.66,1.073596454,-6.3
7.68,1.143537592,-6.3
7.7,1.283419866,-6.3
7.72,1.143537592,-6.3
7.74,1.073596454,-6.3
7.76,1.354235267,-6.3
7.78,1.143537592,-6.3
7.8,1.214352993,-6.3
7.82,1.424176404,-6.3
7.84,1.214352993,-6.3
7.86,1.424176404,-6.3
7.88,1.143537592,-6.3
7.9,1.283419866,-6.3
7.92,1.354235267,-6.3
7.94,1.283419866,-6.3
7.96,1.214352993,-6.3
7.98,1.424176404,-6.3
8,1.494117541,-6.3
8.02,1.77388209,-6.3
8.04,1.354235267,-6.3
8.06,1.494117541,-6.3
8.08,1.633999816,-6.3
8.1,1.424176404,-6.3
8.12,1.354235267,-6.3
8.14,1.564058678,-6.3
8.16,1.494117541,-6.3
8.18,1.354235267,-6.3
8.2,1.494117541,-6.3
8.22,1.633999816,-6.3
8.24,1.494117541,-6.2
8.26,1.424176404,-6.2
8.28,1.424176404,-6.2
8.3,1.424176404,-6.2
8.32,1.633999816,-6.2
8.34,1.424176404,-6.2
8.36,1.283419866,-6.2
8.38,1.564058678,-6.2
8.4,1.143537592,-6.2
8.42,1.214352993,-6.2
8.44,1.214352993,-6.2
8.46,1.283419866,-6.2
8.48,1.283419866,-6.2
8.5,1.214352993,-6.2
8.52,1.073596454,-6.2
8.54,1.073596454,-6.1
8.56,1.354235267,-6.1
8.57999999999999,1.214352993,-6.1
8.59999999999999,1.073596454,-6.1
8.61999999999999,1.424176404,-6
8.63999999999999,1.073596454,-6
8.65999999999999,1.143537592,-6
8.67999999999999,1.214352993,-5.9
8.69999999999999,1.003655317,-5.9
8.71999999999999,1.424176404,-5.8
8.73999999999999,0.93371418,-5.7
8.75999999999999,1.424176404,-5.7
8.77999999999999,0.863773043,-5.7
8.79999999999999,1.003655317,-5.7
8.81999999999999,0.723890769,-5.7
8.83999999999999,1.143537592,-5.7
8.85999999999999,0.863773043,-5.7
8.87999999999999,0.93371418,-5.7
8.89999999999999,1.073596454,-5.7
8.91999999999999,1.214352993,-5.6
8.93999999999999,1.214352993,-5.6
8.95999999999999,0.793831906,-5.6
8.97999999999999,1.283419866,-5.5
8.99999999999999,1.214352993,-5.4
9.01999999999999,1.143537592,-5.3
9.03999999999998,1.424176404,-5.3
9.05999999999998,1.073596454,-5.3
9.07999999999998,1.214352993,-5.2
9.09999999999998,0.93371418,-5.1
9.11999999999998,1.494117541,-5
9.13999999999998,1.214352993,-4.9
9.15999999999998,1.214352993,-4.9
9.17999999999998,0.863773043,-4.8
9.19999999999998,0.863773043,-4.7
9.21999999999998,1.214352993,-4.6
9.23999999999998,1.003655317,-4.5
