time,yaw_rate_deg,steering_angle_deg
6.04,-0.256159415,-0.3
6.06,-0.326100552,-0.3
6.08,-0.046336003,-0.3
6.1,0.024479398,-0.3
6.12,-0.186218278,-0.3
6.14,-0.186218278,-0.3
6.16,-0.186218278,-0.3
6.18,-0.046336003,-0.3
6.2,0.093546271,-0.3
6.22,-0.186218278,-0.3
6.24,-0.186218278,-0.3
6.26,0.233428545,-0.4
6.28,-0.326100552,-0.4
6.3,-0.11627714,-0.3
6.32,0.444126221,-0.4
6.34,0.164361672,-0.4
6.36,-0.11627714,-0.4
6.38,-0.11627714,-0.4
6.4,-0.186218278,-0.4
6.42,-0.046336003,-0.4
6.44,-0.046336003,-0.5
6.46,-0.186218278,-0.6
6.48,0.024479398,-0.6
6.5,0.374185083,-0.7
6.52,0.024479398,-0.7
6.54,0.024479398,-0.7
6.56,-0.256159415,-0.8
6.58,-0.046336003,-0.8
6.6,0.233428545,-0.8
6.62,-0.186218278,-0.8
6.64,-0.535923963,-0.8
6.66,-0.046336003,-0.8
6.68,0.233428545,-0.8
6.7,0.233428545,-0.8
6.72,-0.186218278,-0.8
6.74,0.024479398,-0.8
6.76,-0.11627714,-0.8
6.78,0.024479398,-0.8
6.8,0.093546271,-0.8
6.82,-0.046336003,-0.8
6.84,0.024479398,-0.8
6.86,0.024479398,-0.8
6.88,0.164361672,-0.8
6.9,0.024479398,-0.8
6.92,0.093546271,-0.8
6.94,0.024479398,-0.8
6.96,0.093546271,-0.8
6.98,0.164361672,-0.8
7,0.093546271,-0.8
7.02,-0.046336003,-0.8
7.04,0.024479398,-0.8
7.06,-0.046336003,-0.8
7.08,0.164361672,-0.8
7.1,0.304243946,-0.8
7.12,0.164361672,-0.8
7.14,0.093546271,-0.9
7.16,0.584008495,-0.9
7.18,-0.186218278,-0.9
7.2,0.304243946,-1
7.22,-0.11627714,-1
7.24,0.024479398,-1
7.26,0.024479398,-1.1
7.28,-0.11627714,-1.1
7.3,0.024479398,-1.1
7.32,-0.186218278,-1.1
7.34,-0.186218278,-1.1
7.36,-0.186218278,-1.1
7.38,-0.256159415,-1.1
7.4,-0.186218278,-1.1
7.42,-0.326100552,-1.1
7.44,-0.186218278,-1.1
7.46,-0.326100552,-1.1
7.48,-0.186218278,-1.1
7.5,-0.11627714,-1.1
7.52,-0.11627714,-1.1
7.54,-0.186218278,-1.1
7.56,0.233428545,-1.1
7.58,0.233428545,-1.1
7.6,0.024479398,-1.1
7.62,-0.186218278,-1.1
7.64,-0.186218278,-1.1
7.66,0.164361672,-1.1
7.68,-0.11627714,-1.1
7.7,-0.186218278,-1.1
7.72,0.093546271,-1.1
7.74,0.093546271,-1.1
7.76,0.024479398,-1.1
7.78,0.304243946,-1.1
7.8,-0.11627714,-1.1
7.82,0.093546271,-1.1
