time,yaw_rate_deg,steering_angle_deg
12.5799999999999,0.093546271,0.3
12.5999999999999,0.164361672,0.1
12.6199999999999,0.024479398,0.1
12.6399999999999,0.093546271,-0.1
12.6599999999999,0.024479398,-0.2
12.6799999999999,-0.186218278,-0.2
12.6999999999999,-0.11627714,-0.2
12.7199999999999,-0.186218278,-0.1
12.7399999999999,-0.11627714,-0.1
12.7599999999999,-0.046336003,-0.1
12.7799999999999,-0.11627714,-0.1
12.7999999999999,-0.046336003,-0.1
12.8199999999999,-0.11627714,-0.1
12.8399999999999,0.024479398,-0.1
12.8599999999999,-0.186218278,-0.1
12.8799999999999,-0.11627714,-0.2
12.8999999999999,-0.186218278,-0.1
12.9199999999999,-0.186218278,-0.1
12.9399999999999,-0.186218278,-0.2
12.9599999999999,-0.11627714,-0.1
12.9799999999999,-0.046336003,-0.1
12.9999999999999,-0.046336003,-0.1
13.0199999999999,-0.046336003,-0.1
13.0399999999999,-0.11627714,-0.1
13.0599999999999,-0.046336003,-0.1
13.0799999999999,0.024479398,-0.1
13.0999999999999,0.024479398,-0.1
13.1199999999999,-0.11627714,-0.1
13.1399999999999,0.093546271,-0.1
13.1599999999999,0.024479398,0
13.1799999999999,-0.11627714,0
13.1999999999999,0.024479398,0
13.2199999999999,-0.046336003,0
13.2399999999999,0.164361672,0.1
13.2599999999999,0.093546271,0.2
13.2799999999999,0.164361672,0.2
13.2999999999999,0.093546271,0.2
13.3199999999999,0.093546271,0.2
13.3399999999999,0.093546271,0.2
13.3599999999999,0.164361672,0.3
13.3799999999999,0.093546271,0.3
13.3999999999999,0.093546271,0.4
13.4199999999999,0.093546271,0.5
13.4399999999999,0.024479398,0.5
13.4599999999999,-0.186218278,0.6
13.4799999999999,-0.046336003,0.7
13.4999999999999,-0.046336003,0.8
13.5199999999999,0.024479398,0.8
13.5399999999999,-0.046336003,0.9
13.5599999999999,-0.186218278,1.1
13.5799999999999,-0.256159415,1.2
13.5999999999999,-0.046336003,1.3
13.6199999999999,-0.11627714,1.5
13.6399999999999,-0.046336003,1.5
13.6599999999999,-0.046336003,1.5
13.6799999999999,-0.046336003,1.5
13.6999999999999,-0.11627714,1.6
13.7199999999999,-0.11627714,1.8
13.7399999999999,-0.11627714,1.9
13.7599999999999,-0.256159415,2
13.7799999999999,-0.046336003,2.1
13.7999999999999,-0.046336003,2.1
13.8199999999999,-0.186218278,2.2
13.8399999999999,-0.186218278,2.2
13.8599999999999,-0.186218278,2.2
13.8799999999999,-0.256159415,2.2
13.8999999999999,-0.11627714,2.2
13.9199999999999,-0.186218278,2.2
13.9399999999999,-0.046336003,2.2
13.9599999999999,-0.11627714,2.1
13.9799999999999,-0.11627714,2.1
13.9999999999999,-0.186218278,2.2
14.0199999999999,-0.186218278,2.2
14.0399999999999,-0.046336003,2.2
14.0599999999999,-0.186218278,2.2
14.0799999999999,-0.186218278,2.2
14.0999999999999,-0.256159415,2.2
14.1199999999999,-0.11627714,2.2
14.1399999999999,-0.256159415,2.2
14.1599999999999,-0.186218278,2.1
14.1799999999999,-0.256159415,2.1
14.1999999999999,-0.186218278,2.2
14.2199999999999,-0.11627714,2.2
14.2399999999999,-0.186218278,2.1
14.2599999999999,-0.186218278,2.2
14.2799999999999,-0.186218278,2.2
14.2999999999999,-0.11627714,2.2
14.3199999999999,-0.186218278,2.2
14.3399999999999,-0.11627714,2.2
14.3599999999999,-0.256159415,2.2
14.3799999999999,-0.046336003,2.2
14.3999999999999,-0.186218278,2.1
14.4199999999999,-0.11627714,2.1
14.4399999999999,-0.046336003,2.1
14.4599999999999,-0.046336003,2.1
14.4799999999999,0.024479398,2
14.4999999999999,-0.11627714,2
14.5199999999999,-0.046336003,1.9
14.5399999999999,-0.11627714,1.9
14.5599999999999,-0.046336003,1.8
14.5799999999999,-0.046336003,1.7
14.5999999999999,-0.11627714,1.7
14.6199999999999,-0.186218278,1.7
14.6399999999999,-0.11627714,1.6
14.6599999999999,-0.046336003,1.7
14.6799999999999,-0.046336003,1.7
14.6999999999999,-0.186218278,1.7
14.7199999999999,-0.256159415,1.7
